comment_id	expert_name	date	comment
733	Ajay Srivastava	2007-08-27 11:36:00	Stay away from IT sector, says Srivastava
734	Ajay Srivastava 	2007-08-27 10:51:00	Bullish on power, capital goods
735	Udayan Mukherjee	2007-08-27 09:17:00	Political concerns have eased down
736	Martin Hennecke	2007-08-27 09:12:00	Underlying problems still continue
737	Chris Wood 	2007-08-24 19:45:00	India remains best long-term bull story among EMs
738	Anil Manghnani	2007-08-24 14:28:00	Buy Unitech on dips, says Manghnani
739	Anil Manghnani	2007-08-24 12:11:00	India Cements has resistance at Rs 230-235
740	Anil Manghnani	2007-08-24 12:00:00	Buy Chambal Fertilisers, Nagarjuna Fertilisers on dip
741	Anil Manghnani	2007-08-24 11:41:00	Buy Indiabulls Financial closer to Rs 400
742	Anil Manghnani	2007-08-24 11:34:00	Buy TTML for long term, says Manghnani
